OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE,Search Term
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356087"",""CDC-RFA-JG-25-0146"")",Strengthen National and Sub-National International Health Regulations (IHR) Capacities to Implement the Global Health Security Agenda in Nigeria,HHS-CDC-GHC,forecasted,08/15/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356765"",""72052725RFA00001"")",Strengthening Systems for Health Security Activity (SSHS),USAID-PER,posted,10/18/2024,12/16/2024,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355947"",""72048624RFI00002"")",Request for Information-USAID/RDMA Thailand HIV Key Population Civil Society Organization Leadership,USAID-THA,posted,08/08/2024,10/31/2024,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/309813"",""7200AA19RFA00004"")",One Health Workforce (OHW) Next Generation,USAID,posted,10/22/2018,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/352724"",""7200AA24RFI00011"")","RFI: USAID/Washington Digital Health, Information Systems, and Data Use Request for Information",USAID,forecasted,03/01/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356434"",""72066024RFA00006"")",USAID Accelerator Activity,USAID-DEM,posted,09/17/2024,10/30/2024,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/347114"",""RFI-GH-OHS-23-0001"")","Integrated Health Systems Strengthening Activity, Bureau for Global Health, Office of Health Systems",USAID,forecasted,03/24/2023,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/352469"",""7200AA2400010"")",USAID Integrated Health Systems Strengthening Activity (IHSS) - RFI #2,USAID,forecasted,02/15/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/302225"",""720FDA18APS00001"")",Augmenting Capacity for Humanitarian Emergencies of Infectious Diseases ,USAID,posted,03/27/2018,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351422"",""72067424RFA00001"")",Health Financing and Public Financial Management Systems Strengthening Activity in South Africa,USAID-SAF,forecasted,12/11/2023,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356004"",""72068724RFI00001"")","Arakisa (Digital Health, Information Systems, and Data Use)",USAID-MAD,forecasted,08/13/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/328144"",""RFI-685-20-IHSHCS-01"")",Improving Health Status and Human Capital in Senegal Activity,USAID-SEN,forecasted,07/17/2020,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/350600"",""RFI-621-24-HO-00001"")",USAID Malaria Vector Control Activity (MVCA),USAID-TAN,forecasted,10/17/2023,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/305335"",""RFI-625-18-RISEII-HSD"")",RISE II HEALTH SERVICES DELIVERY ACTIVITY,USAID-SEN,posted,05/18/2018,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/347106"",""RFI-2023-OVC-NW"")","Children, Adolescents & Families in the HIV Epidemic in the North West Province",USAID-SAF,forecasted,03/24/2023,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356642"",""72066924RFA00002"")",Advancing Community Health Activity (ACHA),USAID-LIB,posted,10/07/2024,11/21/2024,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/348036"",""72067423RFI00004"")","Draft Notice of Funding Opportunity - Children, Adolescents, and Families in the HIV Epidemic in Limpopo Province",USAID-SAF,forecasted,05/10/2023,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/327797"",""RFI72066020R00012"")",Request for Information - New Sanitation Activity,USAID-DEM,forecasted,06/22/2020,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356165"",""72068524RFA00017"")",USAID Burkina Faso Community Health Activity,USAID-SEN,posted,08/22/2024,11/08/2024,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/318376"",""7200AA19APS00013"")",New Partnerships Initiative (NPI) – Global Health,USAID,posted,07/12/2019,09/30/2030,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343653"",""W81XWH-22-DHAPP"")",Department of Defense HIV/AIDS Prevention Program,DOD-AMRAA,posted,09/19/2022,09/18/2027,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/328985"",""RFI-720656-20IFPI"")",Request for Information -Improved Family planning Initiative in Mozambique,USAID-MOZ,forecasted,09/09/2020,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/353860"",""HDTRA1-24-S-0002"")",Biological Threat Reduction with Global Partners Broad Agency Announcement (BAA),DOD-DTRA,posted,05/15/2024,04/28/2029,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356671"",""72062024RFA00009"")",USAID Primary Health Care Improvement Program (UPHIP),USAID-NIG,posted,10/09/2024,11/15/2024,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/337086"",""CDC-RFA-TP22-2201"")",Public Health Crisis Response Cooperative Agreement,HHS-CDC-OPHPR,posted,01/13/2022,11/19/2024,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356858"",""DFOP0016988"")",Build Partner Capabilities to Protect Critical Advanced and Emerging Technologies,DOS-ISN,posted,10/26/2024,01/17/2025,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356864"",""DFOP0016986"")","Advancing Nuclear Safety, Security, and Nonproliferation through the FIRST Program",DOS-ISN,posted,10/26/2024,01/17/2025,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356866"",""DFOP0016992"")",Build Partner Capabilities to Counter the Russian Federation’s Chemical and Biological Threats,DOS-ISN,posted,10/26/2024,01/17/2025,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356857"",""DFOP0016984"")",Build Partner Resilience to Counter Proliferator State Hybrid Threats in the Nonproliferation Arena,DOS-ISN,posted,10/26/2024,01/17/2025,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356862"",""DFOP0016991"")",Countering WMD and UAS Threats in Iraq,DOS-ISN,posted,10/26/2024,01/17/2025,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356867"",""DFOP0016994"")",Nonproliferation Scientist Engagement Program,DOS-ISN,posted,10/26/2024,01/17/2025,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356860"",""DFOP0016985"")",Countering Proliferator State Advanced Conventional Weapons Proliferation,DOS-ISN,posted,10/26/2024,01/17/2025,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356863"",""DFOP0016993"")",Countering the Russian Federation’s Sanctions Evasion Activities,DOS-ISN,posted,10/26/2024,01/17/2025,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356859"",""DFOP0016989"")",Build Partner Capabilities to Counter Global Biological Threats,DOS-ISN,posted,10/26/2024,01/17/2025,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356856"",""DFOP0016987"")",Build Partner Capabilities to Protect Semiconductor and CHIPS Technology,DOS-ISN,posted,10/25/2024,01/17/2025,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356861"",""DFOP0016990"")",Building Partner Capacity to Counter Chemical Weapons Threats,DOS-ISN,posted,10/26/2024,01/17/2025,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356865"",""DFOP0016995"")","Countering DPRK and Iran’s WMD, UAS, and Missile Proliferation",DOS-ISN,posted,10/26/2024,01/17/2025,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/330125"",""RFI-GH-21-002"")",PROPEL Health Project (Promoting Results and Outcomes through Policy and Economic Levers),USAID,forecasted,11/30/2020,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/275168"",""SOL-OAA-15-000054"")","Annual Program Statement - Policy, Advocacy, and Communication Enhanced  for Population and Reproductive Health (PACE)",USAID,posted,03/13/2015,03/12/2025,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/315120"",""7200AA19APS00002"")","MOMENTUM (Moving Integrated, Quality Maternal, Newborn, and Child Health Services, Voluntary Family Planning, and Reproductive Health Care [MNCH/FP/RH] to Scale)",USAID,posted,04/22/2019,09/30/2025,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355639"",""HRSA-25-028"")",Partnership for National Maternal and Child Health (MCH) Leadership,HHS-HRSA,posted,10/03/2024,01/03/2025,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/339281"",""PAR-22-161"")",Cancer Epidemiology Cohorts: Building the Next Generation of Research Cohorts (U01 Clinical Trial Not Allowed),HHS-NIH11,posted,04/07/2022,02/28/2025,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356092"",""CDC-RFA-JG-25-0157"")",Strengthening Regional Field Epidemiology Training Program (FETP) Networks in Thailand,HHS-CDC-GHC,forecasted,08/15/2024,,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356177"",""CDC-RFA-JG-25-0174"")","Strengthening and Development of Sustainable Regional Public Health and Epidemiological Workforce Capacity through Collaboration, Program Development, and Implementation",HHS-CDC-GHC,forecasted,08/23/2024,,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/339464"",""PAR-22-162"")",Research Opportunities in Established Cancer Epidemiology Cohort Studies (U01 Clinical Trial Not Allowed),HHS-NIH11,posted,04/13/2022,02/28/2025,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/350921"",""PAR-24-062"")","Phased Research to Support Substance Use Epidemiology, Prevention, and Services Studies (R61/R33 Clinical Trials Optional)",HHS-NIH11,posted,11/07/2023,12/14/2026,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/353968"",""RFA-EH-25-011"")",Environmental Health Specialists Network (EHS-Net) Practice-based Research to Improve Food Safety,HHS-CDC-HHSCDCERA,posted,08/29/2024,12/02/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355471"",""CDC-RFA-JG-25-0102"")","Strengthening integrated HIV and STI tiered laboratory network through continuous quality improvement, surveillance, laboratory data management in India under the President's Emergency Plan for AIDS Relief (PEPFAR)",HHS-CDC-GHC,forecasted,07/17/2024,,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356082"",""CDC-RFA-JG-25-0139"")",Support Ethiopia's Capacity to Meet International Health Regulations Requirements,HHS-CDC-GHC,forecasted,08/15/2024,,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356230"",""CDC-RFA-JG-25-0173"")","Strengthening and Developing of Sustainable Global Public Health and Epidemiological Workforce Capacity through Collaboration, Program Development, and Implementation",HHS-CDC-GHC,forecasted,08/27/2024,,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351257"",""FOR-FD-24-015"")",Development and Maintenance of Human and Animal Food Rapid Response Teams (U2F) Clinical Trials Not Allowed,HHS-FDA,forecasted,11/30/2023,,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/342810"",""FOR-FD-23-016"")",Rapid Response Team (RRT) Cooperative Agreement,HHS-FDA,forecasted,07/28/2022,,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/349692"",""PAR-23-240"")",Alcohol and Other Substance Use Research Education Programs for Health Professionals (R25 Clinical Trial Not Allowed),HHS-NIH11,posted,08/01/2023,05/25/2026,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/332514"",""PA-21-199"")",Research on Autism Spectrum Disorders (R03 Clinical Trial Optional),HHS-NIH11,posted,03/31/2021,11/16/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/332516"",""PA-21-201"")",Research on Autism Spectrum Disorders (R01 Clinical Trial Optional),HHS-NIH11,posted,03/31/2021,01/25/2025,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/336030"",""PAR-22-025"")",NIDCD Clinical Research Center Grant (P50 Clinical Trial Optional),HHS-NIH11,posted,10/07/2021,02/07/2025,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/337303"",""RFA-DA-22-037"")",Accelerating the Pace of Drug Abuse Research Using Existing Data (R01 Clinical Trial Optional),HHS-NIH11,posted,01/10/2022,11/15/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/332515"",""PA-21-200"")",Research on Autism Spectrum Disorders (R21 Clinical Trial Optional),HHS-NIH11,posted,03/31/2021,11/16/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/337512"",""RFA-HL-23-010"")",Catalyze: Enabling Technologies and Transformative Platforms for HLBS Research (R33 - Clinical Trials Not Allowed),HHS-NIH11,posted,01/24/2022,12/20/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/350576"",""PAR-23-303"")",Unveiling Health and Healthcare Disparities in Non-Communicable and Chronic Diseases in Latin America: Setting the Stage for Better Health Outcomes Across the Hemisphere (R01 - Clinical Trials Not Allowed),HHS-NIH11,posted,10/12/2023,01/06/2027,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/345845"",""RFA-DA-24-037"")",Accelerating the Pace of Drug Abuse Research Using Existing Data (R21 Clinical Trial Optional),HHS-NIH11,posted,02/07/2023,11/15/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351505"",""RFA-CA-24-019"")",Sustained Support for Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional),HHS-NIH11,posted,12/14/2023,11/15/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351878"",""PAR-24-122"")",Modular R01s in Cancer Control and Population Sciences (R01 Clinical Trial Optional),HHS-NIH11,posted,01/18/2024,11/05/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351495"",""RFA-CA-24-016"")",Development of Innovative Informatics Methods and Algorithms for Cancer Research and Management (R21 Clinical Trial Optional),HHS-NIH11,posted,12/14/2023,11/15/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/353590"",""PAR-24-174"")",Global Infectious Disease Research Training Program (D43 Clinical Trial Optional),HHS-NIH11,posted,04/17/2024,08/06/2026,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351501"",""RFA-CA-24-018"")",Advanced Development of Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional),HHS-NIH11,posted,12/14/2023,11/15/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355530"",""RFA-HD-25-011"")",The Road to Prevention of Stillbirth  Data Coordinating Center (UM2 Clinical Trial Not Allowed),HHS-NIH11,posted,07/19/2024,11/01/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356240"",""RFA-AG-25-025"")",Short Courses Promoting Cross-National Analyses Using Data from the International Health and Retirement Study (HRS) and Harmonized Cognitive Assessment Protocol (HCAP) (R25 Clinical Trial Not Allowed),HHS-NIH11,posted,08/27/2024,11/01/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356478"",""PAR-24-298"")",Mechanism for Time-Sensitive Substance Use Research (R21 Clinical Trial Optional),HHS-NIH11,posted,09/20/2024,09/09/2027,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356589"",""72039124RFA00002"")",Global Health Security (GHS) Activity,USAID-PAK,posted,09/30/2024,11/15/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355638"",""HRSA-25-027"")","Centers of Excellence in Maternal and Child Health Education, Science, and Practice",HHS-HRSA,posted,10/28/2024,01/27/2025,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/309813"",""7200AA19RFA00004"")",One Health Workforce (OHW) Next Generation,USAID,posted,10/22/2018,,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/337086"",""CDC-RFA-TP22-2201"")",Public Health Crisis Response Cooperative Agreement,HHS-CDC-OPHPR,posted,01/13/2022,11/19/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343653"",""W81XWH-22-DHAPP"")",Department of Defense HIV/AIDS Prevention Program,DOD-AMRAA,posted,09/19/2022,09/18/2027,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354236"",""HT942524VRPIIRA"")","DoD VRP, Investigator-Initiated Research Award",DOD-AMRAA,posted,05/16/2024,11/08/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356765"",""72052725RFA00001"")",Strengthening Systems for Health Security Activity (SSHS),USAID-PER,posted,10/18/2024,12/16/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343234"",""USDA-FS-FHP-FS-PIAP-FY2023"")",FY23 Forest Service Pesticide Impact Assessment Program,USDA-FS,forecasted,09/01/2022,,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354238"",""HT942524VRPTRA"")","DoD VRP, Translational Research Award",DOD-AMRAA,posted,05/16/2024,11/08/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356756"",""72048225RFA00001"")",BURMA: Resilient Tuberculosis Response in Myanmar (RTBR) Activity,USAID-BMA,posted,10/18/2024,12/17/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354233"",""HT942524VRPCTA"")","DoD VRP, Clinical Trial Award",DOD-AMRAA,posted,05/16/2024,11/08/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/353964"",""RFA-CE-25-149"")",Rigorous Evaluation of Primary and Secondary Overdose Prevention Activities Among Populations Disproportionately Affected by Overdose,HHS-CDC-HHSCDCERA,posted,08/30/2024,12/02/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354235"",""HT942524VRPFTTSA"")","DoD VRP, Focused Translational Team Science Award",DOD-AMRAA,posted,05/16/2024,11/08/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355155"",""HT942524TERPIIRA"")",Toxic Exposures Investigator-Initiated Research Award,DOD-AMRAA,posted,06/26/2024,11/07/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355158"",""HT942524TERPTRA"")",Toxic Exposures Translational Research Award,DOD-AMRAA,posted,06/26/2024,11/07/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/353975"",""RFA-TS-25-036"")",Identify and Evaluate Potential Risk Factors for Amyotrophic Lateral Sclerosis (ALS),HHS-CDC-HHSCDCERA,posted,08/01/2024,11/04/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355156"",""HT942524TERPCTA"")",Toxic Exposures Clinical Trial Award,DOD-AMRAA,posted,06/26/2024,11/07/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354440"",""F24AS00367"")",F24AS00367 FWS - White-nose Syndrome Research for Conservation Grants - 2024,DOI-FWS,posted,05/23/2024,12/15/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356880"",""ED-GRANTS-103024-001"")","Office of Postsecondary Education (OPE): International Foreign Language Education (IFLE): Fulbright-Hays Doctoral Dissertation Research Abroad (DDRA) Fellowship Program, Assistance Listing Number 84.022A",ED,posted,10/30/2024,01/15/2025,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/349656"",""72049223APS00001"")",UNIVERSAL HEALTH CARE PROJECT APS,USAID-PHI,posted,08/01/2023,07/31/2025,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/228973"",""RFA-391-13-000009"")","Child, Newborn, and Maternal Health Project",USAID-PAK,posted,04/03/2013,,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/353860"",""HDTRA1-24-S-0002"")",Biological Threat Reduction with Global Partners Broad Agency Announcement (BAA),DOD-DTRA,posted,05/15/2024,04/28/2029,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355916"",""NOAA-NMFS-PRPO-2025-27629"")",John H. Prescott Marine Mammal Rescue Assistance Grant,DOC-DOCNOAAERA,posted,08/07/2024,10/30/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/318376"",""7200AA19APS00013"")",New Partnerships Initiative (NPI) – Global Health,USAID,posted,07/12/2019,09/30/2030,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/344247"",""720BHA22APS00002"")",Climate Smart and Disaster Ready,USAID,posted,11/04/2022,,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/353889"",""RFA-CE-25-029"")",Grants to Support New Investigators in Conducting Research Related to Preventing Interpersonal Violence Impacting Children and Youth,HHS-CDC-HHSCDCERA,posted,08/30/2024,12/02/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/353985"",""RFA-CE-25-021"")",Research Grants for Preventing Violence and Violence Related Injury (R01),HHS-CDC-HHSCDCERA,posted,08/28/2024,12/02/2024,"""Epidemiology"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355190"",""RFA-DP-25-041"")",Connecting Organizations and People to Empower Diabetes Prevention and Treatment (Connections),HHS-CDC-HHSCDCERA,posted,10/25/2024,01/06/2025,"""Epidemiology"""
